Date;Abap;Ada;C/C++;C#;Cobol;Dart;Delphi/Pascal;Go;Groovy;Haskell;Java;JavaScript;Julia;Kotlin;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;Swift;TypeScript;VBA;Visual Basic
November 2005;0.38;0.277;8.5;6.32;0.44;0;2.468;0;0.06;0.25;30.24;8.23;0;0;0.3;2.27;0.13;6.55;19.59;3.64;0.51;1.0;0.168;0.01;0;0;1.640;6.92
December 2005;0.38;0.277;8.38;6.54;0.48;0;2.45;0;0.08;0.27;29.88;8.12;0;0;0.32;2.36;0.11;6.56;19.35;3.887;0.53;1.24;0.16;0.01;0;0;1.66;6.92
January 2006;0.4;0.29;8.54;6.27;0.44;0;2.4;0;0.09;0.27;29.77;8.12;0;0;0.3500;2.33;0.11;6.34;19.73;3.968;0.51;1.37;0.15;0.02;0;0;1.60;6.9
February 2006;0.4100;0.32;8.43;6.38;0.51;0;2.488;0;0.09;0.3;29.83;7.975;0;0;0.37;2.42;0.13;6.12;19.55;3.960;0.55;1.58;0.13;0.02;0;0;1.68;6.75
March 2006;0.37;0.277;8.37;6.49;0.49;0;2.4;0;0.1;0.3;30.11;8.04;0;0;0.337;2.55;0.11;5.91;19.55;3.94;0.53;1.68;0.09;0.02;0;0;1.650;6.67
April 2006;0.36;0.25;8.48;6.67;0.44;0;2.18;0;0.11;0.29;30.15;8.11;0;0;0.3500;2.46;0.1;5.77;19.97;3.81;0.53;1.78;0.09;0.03;0;0;1.54;6.52
May 2006;0.337;0.24;8.54;6.64;0.44;0;2.07;0;0.11;0.277;30.23;8.29;0;0;0.3500;2.29;0.1;5.54;20.34;3.71;0.52;1.9;0.06;0.03;0;0;1.51;6.47
June 2006;0.337;0.228;8.66;6.47;0.44;0;1.930;0;0.11;0.277;30.43;8.41;0;0;0.36;2.23;0.11;5.37;20.64;3.670;0.53;1.91;0.06;0.03;0;0;1.49;6.310
July 2006;0.3500;0.22;8.48;6.65;0.45;0;1.91;0;0.09;0.29;30.44;8.44;0;0;0.4;2.32;0.13;5.42;20.51;3.58;0.55;1.92;0.08;0.02;0;0;1.48;6.25
August 2006;0.3500;0.21;8.45;6.80;0.4;0;1.87;0;0.11;0.26;30.27;8.4;0;0;0.38;2.27;0.12;5.45;20.58;3.65;0.51;2.08;0.08;0.02;0;0.01;1.51;6.2
September 2006;0.337;0.21;8.30;6.93;0.4100;0;1.95;0;0.09;0.27;30.07;8.38;0;0;0.44;2.137;0.13;5.52;20.52;3.8;0.53;2.17;0.09;0.02;0;0.01;1.58;6.060
October 2006;0.337;0.25;8.24;6.98;0.4100;0;2.02;0;0.06;0.3;29.89;8.41;0;0;0.44;2.19;0.13;5.48;20.24;3.92;0.54;2.280;0.09;0.02;0;0.01;1.700;6.03
November 2006;0.36;0.25;8.17;7.02;0.4100;0;2;0;0.09;0.32;29.97;8.46;0;0;0.44;2.26;0.13;5.42;20.1;3.960;0.53;2.3;0.09;0.02;0;0.01;1.76;5.91
December 2006;0.4;0.277;8.19;7.07;0.4;0;1.96;0;0.06;0.337;30.06;8.37;0;0;0.4700;2.29;0.13;5.4;19.95;3.980;0.570;2.37;0.09;0.02;0;0.01;1.71;5.850
January 2007;0.38;0.277;8.14;7.145;0.38;0;1.92;0;0.06;0.3500;30.08;8.39;0;0;0.42;2.26;0.11;5.42;19.88;4.15;0.570;2.510;0.08;0.02;0;0.01;1.73;5.67
February 2007;0.4;0.27;8.26;7.02;0.4100;0;1.91;0;0.09;0.38;30.28;8.41;0;0;0.42;2.4;0.13;5.21;19.57;4.34;0.62;2.488;0.1;0.03;0;0;1.650;5.60
March 2007;0.38;0.277;8.26;6.92;0.38;0;1.76;0;0.11;0.38;30.63;8.37;0;0;0.37;2.427;0.11;4.88;19.86;4.3;0.62;2.488;0.1;0.02;0;0;1.63;5.7
April 2007;0.38;0.25;8.11;6.79;0.38;0;1.78;0;0.15;0.3500;30.50;8.39;0;0;0.3500;2.510;0.12;4.82;20.05;4.39;0.6;2.63;0.11;0.03;0;0;1.6;5.68
May 2007;0.38;0.25;8.08;6.77;0.36;0;1.76;0;0.15;0.337;30.49;8.29;0;0;0.37;2.53;0.12;4.79;20.32;4.42;0.63;2.63;0.11;0.05;0;0;1.558;5.59
June 2007;0.32;0.21;7.92;6.81;0.32;0;1.83;0;0.168;0.31;30.58;8.37;0;0;0.3;2.4;0.12;4.79;20.34;4.475;0.58;2.77;0.11;0.06;0;0;1.61;5.56
July 2007;0.337;0.22;8;6.74;0.32;0;1.78;0;0.168;0.29;30.63;8.5;0;0;0.33;2.39;0.12;4.66;20.33;4.35;0.59;2.81;0.11;0.06;0;0;1.66;5.59
August 2007;0.36;0.228;7.96;6.77;0.32;0;1.66;0;0.168;0.29;30.8;8.61;0;0;0.36;2.25;0.11;4.59;20.84;4.19;0.58;2.79;0.06;0.06;0;0;1.66;5.310
September 2007;0.36;0.228;7.96;6.850;0.337;0;1.72;0;0.168;0.277;30.70;8.59;0;0;0.3500;2.22;0.11;4.76;20.77;4.22;0.62;2.81;0.06;0.08;0;0;1.650;5.14
October 2007;0.36;0.228;8.06;6.95;0.337;0;1.73;0;0.16;0.3;30.76;8.57;0;0;0.37;2.16;0.1;4.76;20.46;4.270;0.69;2.78;0.06;0.09;0;0;1.66;5.13
November 2007;0.37;0.21;8.1;7.00;0.36;0;1.76;0;0.168;0.277;30.69;8.45;0;0;0.37;2.21;0.1;4.82;19.91;4.475;0.74;2.85;0.06;0.08;0;0;1.68;5.3
December 2007;0.4100;0.228;8.1;7.01;0.4;0;1.738;0;0.18;0.32;30.54;8.38;0;0;0.4;2.33;0.12;4.78;19.65;4.66;0.80;2.82;0.06;0.09;0;0;1.69;5.27
January 2008;0.38;0.2;8.12;7.03;0.38;0;1.650;0;0.2;0.337;30.68;8.17;0;0;0.38;2.39;0.13;4.62;19.75;4.850;0.8;2.87;0.06;0.11;0;0;1.67;5.18
February 2008;0.36;0.21;8.07;7.18;0.38;0;1.73;0;0.21;0.3500;30.44;8.02;0;0;0.4100;2.488;0.13;4.53;19.66;4.975;0.850;2.85;0.08;0.11;0;0;1.69;5.28
March 2008;0.36;0.22;8.06;7.1;0.4;0;1.68;0;0.228;0.36;30.38;8.18;0;0;0.43;2.55;0.13;4.38;19.3;5.09;0.86;2.900;0.08;0.12;0;0;1.71;5.38
April 2008;0.36;0.22;8.03;7.33;0.4;0;1.63;0;0.24;0.36;30.61;8.16;0;0;0.42;2.55;0.13;4.25;19.36;5.06;0.83;2.900;0.06;0.12;0;0;1.750;5.22
May 2008;0.337;0.228;7.95;7.48;0.38;0;1.650;0;0.25;0.337;30.38;8.32;0;0;0.4100;2.53;0.13;4.14;19.57;5.09;0.79;2.91;0.06;0.12;0;0;1.77;5.12
June 2008;0.32;0.26;7.93;7.645;0.38;0;1.71;0;0.26;0.337;30.3;8.25;0;0;0.44;2.54;0.15;3.980;19.66;5.020;0.77;2.94;0.08;0.15;0;0;1.77;5.1
July 2008;0.36;0.32;7.89;7.75;0.43;0;1.79;0;0.277;0.3500;30.06;8.20;0;0;0.44;2.55;0.15;4.04;19.57;5.06;0.80;2.85;0.06;0.15;0;0;1.738;5.12
August 2008;0.3500;0.3;7.82;7.82;0.42;0;1.87;0;0.277;0.31;29.82;8.01;0;0;0.45;2.570;0.18;4.08;19.46;5.2;0.8;2.93;0.09;0.16;0;0;1.79;5.29
September 2008;0.38;0.29;7.935;7.96;0.44;0;1.880;0;0.26;0.31;29.58;7.87;0;0;0.45;2.55;0.18;4.09;19.66;5.27;0.83;2.87;0.08;0.15;0;0;1.750;5.18
October 2008;0.42;0.277;8.1;7.96;0.44;0;1.84;0;0.27;0.32;28.92;7.88;0;0;0.44;2.68;0.19;4.15;19.53;5.600;0.86;2.840;0.08;0.16;0;0;1.650;5.35
November 2008;0.42;0.26;8.32;7.975;0.42;0;1.81;0;0.27;0.31;28.91;7.770;0;0;0.44;2.73;0.168;4.17;19.33;5.75;0.850;2.78;0.08;0.16;0;0;1.68;5.37
December 2008;0.43;0.25;8.54;7.89;0.4100;0;1.750;0;0.26;0.3;28.77;7.79;0;0;0.42;2.78;0.16;4.22;19.22;5.94;0.91;2.71;0.08;0.13;0;0;1.69;5.31
January 2009;0.4;0.21;8.55;7.89;0.38;0;1.76;0;0.26;0.3;28.47;8.05;0;0;0.43;2.718;0.16;4.16;18.97;6.26;0.92;2.7;0.1;0.13;0;0;1.72;5.43
February 2009;0.4100;0.21;8.81;7.810;0.38;0;1.640;0;0.29;0.32;28.44;8;0;0;0.42;2.81;0.13;4.17;18.79;6.3;0.97;2.67;0.1;0.13;0;0;1.69;5.435
March 2009;0.4;0.228;8.7;7.68;0.38;0;1.650;0;0.31;0.3500;28.37;7.935;0;0;0.45;3;0.15;4.2;18.50;6.41;1;2.68;0.12;0.15;0;0;1.82;5.48
April 2009;0.38;0.228;8.67;7.67;0.37;0;1.68;0;0.3;0.337;28.54;7.82;0;0;0.48;2.88;0.13;4.17;18.69;6.35;1.02;2.65;0.12;0.15;0;0;1.880;5.48
May 2009;0.38;0.228;8.74;7.48;0.42;0;1.61;0;0.3;0.3500;28.47;7.67;0;0;0.5;2.87;0.16;4.100;18.86;6.39;1.08;2.65;0.12;0.18;0;0;1.94;5.46
June 2009;0.4;0.2;8.68;7.34;0.43;0;1.54;0;0.31;0.337;28.23;7.79;0;0;0.51;2.887;0.16;4.100;19.16;6.43;1.06;2.657;0.11;0.19;0;0;2.01;5.45
July 2009;0.44;0.2;9.02;7.24;0.44;0;1.5;0;0.29;0.32;27.92;7.53;0;0;0.51;3.08;0.16;4.15;19.12;6.54;1.05;2.65;0.09;0.18;0;0;2.16;5.4
August 2009;0.45;0.19;9.1;7.1;0.4700;0;1.54;0;0.277;0.31;27.66;7.66;0;0;0.5;2.97;0.16;4.09;19.25;6.67;1.05;2.64;0.09;0.2;0;0;2.21;5.4
September 2009;0.4700;0.18;9.53;7.00;0.45;0;1.47;0;0.26;0.29;27.67;7.7;0;0;0.4700;2.87;0.16;4.04;19.3;6.67;1.03;2.6;0.06;0.21;0;0;2.17;5.39
October 2009;0.48;0.18;9.79;6.76;0.4700;0;1.43;0;0.26;0.277;27.68;7.62;0;0;0.45;2.988;0.15;3.980;19.11;6.80;1.06;2.657;0.06;0.22;0;0;2.21;5.35
November 2009;0.49;0.18;9.96;6.7;0.44;0;1.420;0;0.277;0.277;27.70;7.645;0;0;0.44;3.030;0.16;3.960;18.93;6.83;1.04;2.610;0.06;0.2;0;0;2.23;5.37
December 2009;0.49;0.18;10.2;6.600;0.45;0;1.41;0;0.3;0.29;27.80;7.47;0;0;0.45;3.117;0.168;3.860;18.66;6.80;1.068;2.56;0.08;0.21;0;0;2.29;5.41
January 2010;0.5;0.18;10.53;6.4;0.48;0;1.35;0.01;0.32;0.32;28.18;7.44;0;0;0.5;3.04;0.22;3.71;18.63;6.56;1.13;2.54;0.09;0.228;0;0;2.22;5.37
February 2010;0.49;0.168;10.8;6.36;0.4700;0;1.32;0.02;0.32;0.32;28.43;7.32;0;0;0.49;3.205;0.25;3.66;18.45;6.47;1.0;2.44;0.09;0.22;0;0;2.23;5.35
March 2010;0.51;0.168;11.01;6.22;0.49;0;1.29;0.02;0.32;0.32;28.44;7.31;0;0;0.49;3.306;0.25;3.53;18.31;6.435;1.18;2.36;0.1;0.21;0;0;2.31;5.41
April 2010;0.54;0.18;11.3;6.185;0.5;0;1.26;0.03;0.3500;0.32;28.57;7.42;0;0;0.49;3.300;0.27;3.37;18.27;6.27;1.140;2.17;0.1;0.21;0;0;2.31;5.38
May 2010;0.58;0.18;11.52;6.18;0.52;0;1.26;0.03;0.36;0.32;28.48;7.32;0;0;0.51;3.34;0.277;3.27;18.18;6.21;1.22;2.17;0.11;0.22;0;0;2.37;5.33
June 2010;0.61;0.18;11.60;6.270;0.52;0;1.3;0.04;0.37;0.32;28.43;7.37;0;0;0.5;3.300;0.277;3.27;18;6.25;1.2;2.18;0.1;0.21;0;0;2.36;5.35
July 2010;0.62;0.19;11.53;6.41;0.54;0;1.29;0.03;0.36;0.27;28.18;7.31;0;0;0.49;3.46;0.337;3.29;17.87;6.25;1.18;2.17;0.1;0.21;0;0;2.46;5.43
August 2010;0.63;0.19;11.63;6.41;0.54;0;1.26;0.03;0.3500;0.26;28.52;7.22;0;0;0.4700;3.36;0.38;3.238;17.64;6.22;1.22;2.23;0.08;0.21;0;0;2.570;5.310
September 2010;0.63;0.2;11.75;6.45;0.54;0;1.27;0.03;0.3500;0.27;28.54;7.145;0;0;0.48;3.300;0.48;3.2;17.43;6.34;1.18;2.33;0.09;0.22;0;0;2.570;5.2
October 2010;0.61;0.2;11.86;6.54;0.54;0;1.24;0.03;0.3500;0.27;28.42;6.93;0;0;0.5;3.34;0.61;3.15;17.09;6.435;1.24;2.48;0.09;0.228;0;0;2.64;5.2
November 2010;0.6;0.2;11.92;6.61;0.54;0;1.23;0.03;0.33;0.29;28.53;6.90;0;0;0.49;3.42;0.73;3.1;16.7;6.5;1.25;2.53;0.08;0.228;0;0;2.570;5.21
December 2010;0.59;0.21;12.04;6.59;0.54;0;1.24;0.03;0.32;0.3;28.38;6.79;0;0;0.48;3.45;0.98;3;16.45;6.58;1.328;2.65;0.09;0.24;0;0;2.488;5.21
January 2011;0.55;0.2;12.35;6.46;0.5;0;1.2;0.02;0.29;0.3;28.78;6.89;0;0;0.4700;3.27;1.06;2.82;16.40;6.725;1.34;2.65;0.06;0.26;0;0;2.35;5.04
February 2011;0.54;0.22;12.59;6.47;0.4700;0.01;1.16;0.03;0.29;0.3;28.51;7.00;0;0;0.45;3.39;1.24;2.69;16.40;6.94;1.3;2.58;0.06;0.25;0;0;2.137;4.97
March 2011;0.51;0.2;12.65;6.52;0.45;0.02;1.11;0.02;0.27;0.27;28.41;7.02;0;0;0.44;3.47;1.39;2.59;16.38;6.99;1.3;2.58;0.06;0.24;0;0;2.09;4.99
April 2011;0.52;0.19;12.62;6.51;0.44;0.04;1.0;0.02;0.277;0.277;28.44;7.13;0;0;0.44;3.36;1.54;2.59;16.43;6.90;1.31;2.510;0.06;0.24;0;0;2.02;4.99
May 2011;0.54;0.2;12.62;6.4;0.45;0.05;1.09;0.02;0.3;0.25;28.46;7.21;0;0;0.44;3.18;1.700;2.46;16.58;6.98;1.32;2.5;0.06;0.25;0;0;1.930;4.96
June 2011;0.55;0.2;12.57;6.32;0.45;0.06;1.068;0.02;0.3;0.228;28.48;7.23;0;0;0.4700;3.117;1.78;2.48;16.68;6.95;1.31;2.6;0.05;0.26;0;0;1.94;4.84
July 2011;0.59;0.21;12.55;6.35;0.45;0.08;1.068;0.02;0.32;0.228;28.38;7.1;0;0;0.48;3.15;1.97;2.44;16.64;6.95;1.31;2.6;0.06;0.25;0;0;1.95;4.83
August 2011;0.61;0.2;12.5;6.270;0.4700;0.08;1.06;0.03;0.33;0.228;28.38;7.08;0;0;0.5;3.030;2.09;2.48;16.45;6.94;1.35;2.68;0.06;0.29;0;0;2.06;4.83
September 2011;0.63;0.22;12.7;6.11;0.4700;0.08;1.05;0.03;0.36;0.24;28.42;7.09;0;0;0.5;2.86;2.23;2.5;16.40;7.03;1.38;2.59;0.06;0.3;0;0;2.03;4.72
October 2011;0.63;0.228;13;5.975;0.44;0.08;0.990;0.03;0.3500;0.22;28.34;7.14;0;0;0.49;2.87;2.29;2.42;16.28;7.26;1.400;2.59;0.05;0.32;0;0;2.01;4.58
November 2011;0.62;0.25;12.79;6.02;0.43;0.11;0.98;0.03;0.337;0.26;27.98;7.14;0;0;0.49;2.93;2.7;2.46;16.05;7.42;1.420;2.62;0.05;0.337;0;0;2.13;4.44
December 2011;0.61;0.25;12.47;6.18;0.4;0.12;0.88;0.03;0.337;0.27;28.03;7.24;0;0;0.4700;2.98;3;2.32;15.87;7.73;1.450;2.46;0.06;0.33;0;0;2.16;4.33
January 2012;0.6;0.26;12.04;6.46;0.38;0.12;0.86;0.03;0.337;0.277;27.86;7.3;0;0;0.48;3.02;3.407;2.31;15.74;7.84;1.450;2.44;0.06;0.337;0;0;2.18;4.19
February 2012;0.61;0.25;11.5;6.83;0.4;0.12;0.88;0.03;0.337;0.29;27.58;7.28;0.01;0;0.52;3.09;3.718;2.31;15.69;7.9;1.5;2.46;0.06;0.33;0;0;2.23;4.05
March 2012;0.63;0.228;10.69;7.34;0.4;0.13;0.8;0.03;0.337;0.29;27.63;7.21;0.03;0;0.54;3.19;3.88;2.238;15.45;8.03;1.53;2.53;0.06;0.337;0;0;2.29;4.05
April 2012;0.64;0.228;9.74;7.85;0.42;0.13;0.92;0.03;0.3500;0.31;27.46;7.17;0.05;0;0.59;3.27;4.26;2.238;15.2;8.08;1.58;2.62;0.06;0.36;0;0;2.4;3.988
May 2012;0.66;0.22;9.31;8.16;0.4;0.13;0.91;0.04;0.37;0.32;27.68;7.06;0.08;0;0.64;3.29;4.21;2.25;15.22;8.1;1.59;2.65;0.06;0.3500;0;0;2.37;3.91
June 2012;0.65;0.21;9.13;8.46;0.38;0.13;0.91;0.05;0.38;0.29;27.42;6.99;0.1;0;0.64;3.238;4.3;2.23;15.2;8.07;1.58;2.71;0.06;0.36;0;0;2.34;3.9
July 2012;0.700;0.228;8.86;8.7;0.4100;0.13;0.92;0.06;0.4100;0.3;27.41;6.9;0.13;0;0.66;3.18;4.3;2.21;15.15;8.1;1.69;2.76;0.08;0.4;0;0;2.35;3.860
August 2012;0.72;0.24;8.7;8.98;0.38;0.13;0.91;0.06;0.43;0.3;27.27;6.99;0.13;0;0.65;3.130;4.51;2.15;14.91;8.21;1.738;2.75;0.06;0.4100;0;0;2.3;3.887
September 2012;0.69;0.25;8.69;9.19;0.37;0.12;0.89;0.06;0.44;0.31;27.13;7.01;0.15;0.01;0.69;3.08;4.64;2.16;14.7;8.23;1.77;2.76;0.08;0.42;0;0;2.238;3.8
October 2012;0.67;0.25;8.77;9.31;0.3500;0.12;0.86;0.08;0.43;0.29;27.12;7.04;0.13;0.01;0.67;3;4.75;2.11;14.96;8.28;1.77;2.69;0.08;0.4;0;0;2.07;3.780
November 2012;0.67;0.24;8.84;9.43;0.32;0.11;0.80;0.08;0.4;0.27;26.88;7.12;0.13;0.01;0.67;3.01;4.9;2.06;14.76;8.35;1.83;2.77;0.09;0.4100;0;0.02;2.07;3.73
December 2012;0.69;0.25;8.68;9.58;0.32;0.11;0.83;0.09;0.4;0.29;26.85;7.1;0.13;0.01;0.67;3.070;4.91;2.11;14.48;8.44;1.880;2.77;0.1;0.4100;0;0.03;2.07;3.677
January 2013;0.65;0.25;8.74;9.54;0.31;0.12;0.80;0.08;0.38;0.29;26.70;7.145;0.13;0.01;0.700;3.09;5.06;2.08;14.37;8.62;1.890;2.81;0.09;0.4100;0;0.04;1.96;3.67
February 2013;0.6;0.24;8.69;9.56;0.29;0.12;0.76;0.08;0.36;0.277;26.91;7.08;0.13;0.01;0.69;3.070;5.18;2.01;14.3;8.87;1.880;2.76;0.09;0.4100;0;0.05;1.82;3.65
March 2013;0.61;0.228;8.52;9.53;0.29;0.13;0.77;0.08;0.38;0.277;26.77;7.12;0.13;0.01;0.69;3.117;5.4;1.92;14.37;9;1.9;2.718;0.09;0.43;0;0.08;1.82;3.5
April 2013;0.63;0.24;8.39;9.54;0.31;0.13;0.77;0.09;0.38;0.27;26.65;7.22;0.13;0.01;0.700;3.205;5.41;1.91;14.18;9.17;1.97;2.74;0.09;0.44;0;0.09;1.83;3.475
May 2013;0.61;0.24;8.19;9.75;0.33;0.13;0.77;0.09;0.4;0.277;26.46;7.35;0.13;0;0.710;3.2;5.4;1.91;14.27;9.36;1.980;2.68;0.08;0.45;0;0.08;1.738;3.38
June 2013;0.58;0.228;8.12;9.82;0.33;0.13;0.75;0.1;0.38;0.277;26.41;7.55;0.12;0;0.700;3.17;5.37;1.83;14.32;9.56;1.990;2.718;0.06;0.45;0;0.08;1.63;3.25
July 2013;0.58;0.22;7.95;10;0.33;0.13;0.72;0.1;0.38;0.29;26.52;7.62;0.12;0;0.67;3.130;5.31;1.82;14.31;9.71;1.95;2.657;0.08;0.45;0;0.08;1.61;3.19
August 2013;0.63;0.228;7.92;9.96;0.337;0.12;0.74;0.11;0.4;0.3;26.36;7.76;0.13;0;0.67;3.137;5.36;1.87;14.08;9.67;2;2.76;0.08;0.5;0;0.1;1.640;3.09
September 2013;0.62;0.25;7.935;9.92;0.3500;0.12;0.700;0.11;0.38;0.3;26.41;7.76;0.13;0.01;0.66;3.09;5.36;1.85;13.96;9.85;2.06;2.78;0.08;0.52;0;0.09;1.61;3.030
October 2013;0.61;0.24;7.89;9.92;0.337;0.12;0.67;0.12;0.38;0.3;26.20;7.6;0.15;0;0.66;3.01;5.88;1.84;13.83;9.85;2.09;2.86;0.09;0.54;0;0.1;1.61;3.06
November 2013;0.58;0.26;8.05;9.8;0.33;0.11;0.65;0.12;0.38;0.3;26.54;7.48;0.15;0;0.61;3;6.14;1.79;13.60;9.89;2.09;2.75;0.08;0.55;0;0.1;1.568;3.09
December 2013;0.62;0.277;8.11;9.78;0.32;0.12;0.66;0.12;0.4100;0.31;26.47;7.34;0.15;0;0.6;3.01;6.36;1.76;13.36;9.82;2.12;2.69;0.09;0.62;0;0.1;1.640;3.130
January 2014;0.62;0.277;8.15;9.73;0.33;0.13;0.66;0.13;0.43;0.31;26.26;7.35;0.16;0;0.6;3.04;6.5;1.71;13.18;9.95;2.17;2.71;0.12;0.65;0;0.11;1.67;3.030
February 2014;0.61;0.31;8.17;9.65;0.337;0.16;0.67;0.13;0.44;0.337;26.22;7.38;0.168;0;0.62;3.070;6.65;1.51;13.08;10.02;2.18;2.6;0.2;0.67;0.06;0.12;1.69;2.93
March 2014;0.6;0.31;8.12;9.65;0.337;0.168;0.69;0.13;0.45;0.3500;25.90;7.6;0.18;0;0.61;3.130;6.9;1.35;12.95;9.94;2.21;2.6;0.26;0.67;0.12;0.11;1.69;2.947
April 2014;0.62;0.32;8.11;9.70;0.337;0.19;0.69;0.15;0.45;0.36;26.22;7.7;0.19;0;0.61;3.08;6.52;1.18;13;10.05;2.19;2.54;0.27;0.65;0.19;0.11;1.700;2.85
May 2014;0.64;0.32;8;9.73;0.3500;0.2;0.73;0.16;0.48;0.37;25.99;7.810;0.19;0;0.66;3.04;6.475;1.03;13;10.14;2.21;2.610;0.3;0.69;0.25;0.12;1.71;2.79
June 2014;0.63;0.31;7.935;9.75;0.37;0.2;0.69;0.16;0.4700;0.36;26.11;7.82;0.19;0;0.66;2.988;6.435;0.89;13.04;10.27;2.3;2.610;0.32;0.66;0.32;0.12;1.67;2.718
July 2014;0.63;0.32;7.89;9.73;0.337;0.19;0.67;0.168;0.48;0.337;26.19;7.810;0.19;0;0.63;2.96;6.41;0.88;12.95;10.17;2.3;2.63;0.3;0.65;0.69;0.11;1.67;2.69
August 2014;0.62;0.277;7.86;9.67;0.33;0.168;0.63;0.168;0.45;0.31;26.40;7.66;0.18;0;0.59;2.900;6.34;0.990;12.97;10.28;2.3;2.65;0.24;0.65;0.97;0.11;1.650;2.62
September 2014;0.63;0.277;7.91;9.65;0.33;0.15;0.63;0.18;0.4700;0.3;26.33;7.57;0.168;0;0.59;2.83;6.2;1.17;12.86;10.27;2.4;2.657;0.21;0.69;1.24;0.11;1.63;2.56
October 2014;0.58;0.277;8.03;9.66;0.32;0.13;0.62;0.19;0.44;0.29;26.16;7.48;0.168;0;0.55;2.88;6.270;1.23;12.62;10.44;2.41;2.610;0.2;0.710;1.55;0.1;1.558;2.48
November 2014;0.55;0.277;8.08;9.56;0.3;0.15;0.58;0.18;0.43;0.277;26.15;7.39;0.168;0;0.5;2.93;6.37;1.26;12.4;10.56;2.488;2.54;0.168;0.69;1.91;0.1;1.558;2.42
December 2014;0.58;0.31;8.07;9.33;0.31;0.13;0.6;0.2;0.44;0.31;25.90;7.35;0.168;0;0.51;2.98;6.34;1.41;12.09;10.58;2.510;2.56;0.18;0.73;2.32;0.1;1.54;2.45
January 2015;0.59;0.33;8.08;9.22;0.33;0.13;0.61;0.2;0.44;0.33;25.75;7.35;0.19;0;0.54;3.05;6.25;1.37;12;10.71;2.59;2.56;0.19;0.73;2.42;0.1;1.51;2.42
February 2015;0.58;0.36;8.03;9.32;0.33;0.13;0.6;0.21;0.44;0.337;25.5;7.39;0.18;0;0.54;3.09;6.23;1.328;11.83;10.84;2.69;2.53;0.2;0.710;2.510;0.11;1.48;2.468
March 2015;0.55;0.36;7.96;9.31;0.33;0.13;0.570;0.22;0.45;0.36;25.52;7.32;0.18;0;0.52;3.2;6.15;1.27;11.79;11.1;2.7;2.52;0.19;0.72;2.6;0.11;1.46;2.39
April 2015;0.6;0.38;7.84;9.18;0.3500;0.13;0.58;0.24;0.48;0.38;25.31;7.37;0.2;0;0.54;3.230;5.99;1.32;11.74;11.12;2.79;2.570;0.2;0.74;2.657;0.13;1.51;2.39
May 2015;0.61;0.38;7.66;9.3;0.3500;0.12;0.570;0.24;0.51;0.38;25.3;7.44;0.19;0;0.54;3.218;5.80;1.35;11.82;11.12;2.800;2.610;0.21;0.77;2.65;0.15;1.51;2.36
June 2015;0.58;0.3500;7.66;9.46;0.32;0.12;0.54;0.228;0.5;0.38;25.34;7.5;0.18;0;0.51;3.205;5.74;1.31;11.83;11.20;2.85;2.62;0.21;0.77;2.657;0.168;1.53;2.238
